time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.077696722303142e-08,8.589807918517194e-07,10.004399331750983,0.0006182117878088533,6.283054069028504,0.0,9.399157627604086e-06,6.819975980352483e-05,0.1466360949115017,0.02549448181020176,-0.006966702323345857,0.0,451.68976181428235,451.12772699683757,450.4710532475066,452.527488259967
0.12000000000000001,4.859455772695478e-06,2.273932330102421e-05,10.015358291612912,0.0020003283395126914,6.2823630353175215,0.0,0.00020214422097431358,0.0008041268729176397,0.2186507529879236,0.01759782080104097,-0.022674101671885376,0.0,428.649198659891,427.31262416145034,428.2753397154424,427.60335067429116
0.18,4.030523694331809e-05,0.00011907928249447951,10.032681324818167,0.0031498350914445084,6.28116821749429,0.0,0.001116721740980895,0.0025263471960620875,0.3587489589037438,0.022109812918814403,-0.014897143255686418,0.0,449.1387450098691,449.7689611622041,449.3862639746821,449.7517412426495
0.23999999999999996,0.00014745795727287382,0.00033358074317803825,10.055075988566934,0.004490316658351645,6.280574893609767,0.0,0.002521655513748647,0.004745678460822684,0.38772958491456627,0.022800426610539607,-0.0013918847785335496,0.0,413.78242603641746,414.9695470796444,413.39357023301744,413.4544769362183
0.3,0.00035868289267576315,0.0007264787194851546,10.083479761045346,0.005466110320890394,6.2804074017573335,0.0,0.004532942344874327,0.008488223979361383,0.558993431444299,-0.001891235358377279,-0.005749245852591904,0.0,459.99344072298976,459.6483644110393,459.4419078102536,457.48029272273504
0.36000000000000004,0.0006722841724385002,0.0013161128670516984,10.114090019956963,0.005555090009278452,6.280364103871481,0.0,0.005933569337363909,0.011166132423494459,0.46139427914622994,0.00749732217594909,0.007803497516643363,0.0,368.6069318051703,369.9436501574956,368.75864893642876,369.6847504938572
0.4200000000000001,0.0010964889932444531,0.0021263458936402447,10.149012283551047,0.005768636792494952,6.280628522588021,0.0,0.008159945478806933,0.015883541666363115,0.702563824427177,-0.005788954128115044,-0.003439985506217608,0.0,480.13887112809203,479.2851651086037,480.52750969818567,479.5193818034389
0.48000000000000015,0.0016420064975147576,0.0032027505578797128,10.195152803656459,0.005309210234313966,6.280654004861406,0.0,0.010032397814251911,0.019953296325889297,0.835365613565341,-0.011683012313179818,0.007209528879043086,0.0,446.8527465221649,447.71991458253166,448.3850156326201,447.90610660162724
0.5400000000000001,0.0023065835160782726,0.004532808342889357,10.25318223596063,0.0040829545292693226,6.281118785382098,0.0,0.012062992240988632,0.0242750806540234,1.0987339844214774,-0.05049987197154062,0.008798947800035366,0.0,486.81835582957865,486.9371351294506,488.004009499392,485.0981377747709
0.6000000000000002,0.0030835249266487758,0.006084115927380669,10.328402722357328,0.0008356549026524718,6.2815185595886796,0.0,0.013772188056546673,0.02701811449067039,1.4082884805455562,-0.06257776401000471,0.002006098444507931,0.0,500.5137653777636,500.01909654222294,500.5435953954219,499.66233000948836
0.6600000000000003,0.003946376586632742,0.0077083451906537325,10.417434049280244,6.279850946441858,6.281281229337052,0.0,0.014991245130039044,0.026695276001797427,1.5592286392261219,-0.08927517754462364,-0.019865893552070003,0.0,456.5727257651149,454.824588517737,454.80971089117895,452.66272371598006
0.7200000000000003,0.004892218506936669,0.009216527059110432,10.515109666558851,6.275042241559797,6.2798750422468,0.0,0.016674790789339134,0.023036578708268102,1.6964288761353643,-0.0662952514534146,-0.03175443620915152,0.0,451.4007923539849,450.440411792302,449.99862795393017,451.8495158787879
0.7800000000000004,0.0059755361105969015,0.010397611298267575,10.621908694510012,6.2712934321302995,6.2781656350047825,0.0,0.0196363056394928,0.01590396526470101,1.863277162298916,-0.05577544765480084,-0.022652800700693934,0.0,458.9955764672481,459.7170666520777,461.0185923292893,461.84628711206267
0.8400000000000004,0.007303196308080875,0.010996711941586388,10.744419947714226,6.267831736701497,6.276875834970891,0.0,0.024800974320142766,0.0035979591175515097,2.219803132714734,-0.0618385566777872,-0.019279430671587872,0.0,513.670988038059,513.9101981431938,516.5184980317052,516.088956076089
0.9000000000000005,0.008927729532579575,0.010876806940557659,10.880882406657776,6.264193767723462,6.275822479268957,0.0,0.02946268339146675,-0.007970754229046053,2.328722839677768,-0.058325247004613695,-0.014314553977537142,0.0,444.16547255584265,444.57251714605894,444.48564299878467,444.7708484237855
0.9600000000000005,0.01084466524982561,0.010009274042236383,11.022768214697658,6.2607828116401585,6.274854209619184,0.0,0.034523169047348076,-0.021281917222248203,2.400647929975575,-0.054050757597284116,-0.020059175082642013,0.0,433.9676760464358,433.4853059221438,432.5779118893296,432.93538506817225
1.0200000000000005,0.013080465732008148,0.008288959918226792,11.168420633171849,6.257140215699513,6.274083132515987,0.0,0.04009370036844188,-0.036381616807889254,2.454309958740758,-0.07935720449845221,-0.0013521794602895758,0.0,427.3026179080193,428.8944293030542,428.3301595545579,426.1695685614154
1.0800000000000005,0.01566214546359253,0.005586145225701675,11.317321156244343,6.2521996398613595,6.273935462686675,0.0,0.045971973711957895,-0.05417036052936161,2.508908802970746,-0.08910143322040877,-0.004777035451453604,0.0,429.16527136682794,428.8745333728876,427.90849992928423,427.07234988314315
1.1400000000000006,0.018608078519189216,0.0016902917002349308,11.470379051866129,6.246659668755809,6.27316232217748,0.0,0.052267257479678364,-0.07622655663638506,2.5928149781028007,-0.09973227395394971,-0.03868049095359194,0.0,439.189102001212,436.3681036908483,438.62686899670393,437.73573933445243
